,d2d,1dTD d2d,5d,10d,20d,1m,2m,days cnt,post cnt
total,0.39,0.34,0.62,0.62,0.62,0.59,0.52,140,29
Infl. total,0.53,0.59,0.5,0.33,0.58,0.42,0.25,17,12
OPINION_IS_UNPOPULAR cluster,0.6,0.6,0.25,0.25,0.75,0.75,0.5,5,4
Jshbone12,0.67,0.67,0.0,0.0,1.0,0.5,0.5,3,2
Jshbone12 cluster,0.2,0.6,0.4,0.2,0.4,0.0,0.4,10,5
polloponzi cluster,0.25,0.5,0.25,0.25,0.75,0.25,0.25,8,4
jaypowwow,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1
jaypowwow cluster,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,1
spac420 cluster,0.62,0.5,0.43,0.43,0.71,0.86,0.57,16,7
2ftc cluster,0.33,0.33,0.5,1.0,0.5,0.5,0.75,6,4
livingisdeadly cluster,0.17,0.17,0.67,0.67,0.5,0.5,0.5,12,6
QuirkyAverageJoe,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1
QuirkyAverageJoe cluster,0.0,0.0,0.5,0.0,0.5,0.5,0.0,2,2
grimkhor,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2,2
grimkhor cluster,0.67,0.67,1.0,1.0,1.0,1.0,0.5,3,2
zxc123zxc123 cluster,0.62,0.31,0.67,0.67,0.33,0.33,0.67,13,6
degeneratetrader10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
degeneratetrader10 cluster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Chester-Ming cluster,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
ThatBoyWet,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,1
ThatBoyWet cluster,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5,1
realdevtest cluster,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1
_BreakingGood_,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1
_BreakingGood_ cluster,0.67,0.67,0.5,0.5,0.5,1.0,1.0,3,2
Fausterion18,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1
Fausterion18 cluster,0.5,0.17,0.0,0.0,0.5,0.5,1.0,6,2
OPINION_IS_UNPOPULAR,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1
poppy_harlo92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1
poppy_harlo92 cluster,0.33,0.17,0.0,0.0,0.5,0.5,0.5,6,2
Kengriffinspimp cluster,0.4,0.2,1.0,1.0,0.0,0.0,0.5,5,2
B3stAuD1t0rofA11tiME,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
B3stAuD1t0rofA11tiME cluster,0.43,0.57,0.5,0.5,0.5,0.5,0.5,7,2
spac420,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2,2
jamzkourt cluster,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
Seeders,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1
Seeders cluster,0.67,0.67,1.0,1.0,1.0,1.0,0.0,3,1
polloponzi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1
